id,name,latitude,longitude,transportMode
NSR:StopPlace:16622,Eilertsløkka,59.65565,9.675696,bus
NSR:StopPlace:16620,Gustava Kiellands vei,59.6527,9.67169,bus
NSR:StopPlace:7182,Hornbergsenga,60.794892,11.729925,bus
NSR:StopPlace:41659,Ranøyen,62.926222,11.141548,bus
NSR:StopPlace:7181,Gamle Allmannvei,62.269391,10.757726,bus
NSR:StopPlace:41657,Hermanstad,63.202822,10.250437,bus
NSR:StopPlace:7186,Østre Brekkveien,62.267947,10.740784,bus
NSR:StopPlace:7187,Fjetre,60.761868,11.08454,bus
NSR:StopPlace:7184,Nordsveen,60.769283,11.085723,bus
NSR:StopPlace:41652,Herlofsonløypa,63.405158,10.319691,tram
NSR:StopPlace:41650,Ranheim idrettsplass,63.427812,10.523133,bus
NSR:StopPlace:41651,Torgardshaugen,63.322719,10.376531,bus
NSR:StopPlace:7188,Sormbrua,60.754117,11.760982,bus
NSR:StopPlace:7189,Vestre Brekkveien,62.267925,10.732092,bus
NSR:StopPlace:16607,Lien,60.23705,9.60239,bus
NSR:StopPlace:7190,Bruvoll,60.759579,11.085619,bus
NSR:StopPlace:16608,Hemsedal skisenter rv. 52,60.86616,8.52154,bus
NSR:StopPlace:16605,Hulbakveien kryss,60.86794,8.527673,bus
NSR:StopPlace:16606,Brygga,59.946844,10.294651,bus
NSR:StopPlace:7193,Rognerud,60.757366,11.103534,bus
NSR:StopPlace:41647,Herfjordvatn,64.012754,10.047487,bus
NSR:StopPlace:16603,Bekkedalen,60.866335,8.54082,bus
NSR:StopPlace:7194,Øvre Skurubergsvei 62,60.986703,11.742523,bus
NSR:StopPlace:16604,Liaveien Saga,59.954116,10.292312,bus
NSR:StopPlace:41645,Randlia,63.351155,10.44198,bus
NSR:StopPlace:16601,Horn,59.959427,10.282379,bus
NSR:StopPlace:16602,Snesrud garasje,60.22475,9.604025,bus
NSR:StopPlace:7197,Nedre Kjæreng,62.268031,10.725853,bus
NSR:StopPlace:41643,Torgaardssletta,63.329118,10.363935,bus
NSR:StopPlace:7198,St. Hanshaugen III,60.883904,11.577643,bus
NSR:StopPlace:41641,Ramsøyaunet hurtigbåtkai,64.340513,10.416993,water
NSR:StopPlace:7196,St. Hanshaugen IV,60.884012,11.575253,bus
NSR:StopPlace:41640,Ramsøy hurtigbåtkai,64.328378,10.415637,water
NSR:StopPlace:7199,Nergård,62.268436,10.715974,bus
NSR:StopPlace:16609,Holmen,59.941115,10.296123,bus
NSR:StopPlace:16600,Hemsedal sentrum,60.862774,8.554615,bus
NSR:StopPlace:41679,Reinsjøen,63.496855,10.033339,bus
NSR:StopPlace:41676,Torshus,63.257417,9.779726,bus
NSR:StopPlace:41677,Hessdalen kirke,62.790603,11.181952,bus
NSR:StopPlace:41674,Herremsveien,62.886099,9.829631,bus
NSR:StopPlace:41672,Tors veg,63.404835,10.427112,bus
NSR:StopPlace:41673,Refset,62.996904,10.465972,bus
NSR:StopPlace:41670,Herneskrysset,63.503648,8.362575,bus
NSR:StopPlace:41669,Raustein,63.61857,9.603487,bus
NSR:StopPlace:41667,Raudberget,63.489683,9.990169,bus
NSR:StopPlace:41665,Rate,63.386971,10.397779,bus
NSR:StopPlace:41664,Torp,63.433976,10.692031,bus
NSR:StopPlace:41661,Raphaugen,62.829659,10.485608,bus
NSR:StopPlace:41662,Hermstad,63.561532,10.095336,bus
NSR:StopPlace:41660,Orkanger torg,63.304585,9.848995,bus
NSR:StopPlace:26030,Hauga,59.370824,5.257806,bus
NSR:StopPlace:26038,Sandhåland nord,59.197961,5.188656,bus
NSR:StopPlace:26032,Sandeveien,59.015777,5.590391,bus
NSR:StopPlace:26039,Utbjoa,59.67448,5.613979,bus
NSR:StopPlace:26040,Sandhåland sør,59.192665,5.186593,bus
NSR:StopPlace:26041,Haugane,59.274063,5.322814,bus
NSR:StopPlace:26046,Haugane,59.60386,5.827939,bus
NSR:StopPlace:26047,Skeianetunet,58.847098,5.729306,bus
NSR:StopPlace:26048,Haugane vest,59.604134,5.820426,bus
NSR:StopPlace:26049,Utsikten,58.76969,5.87397,bus
NSR:StopPlace:26044,Utbjoa kryss,59.677423,5.605975,bus
NSR:StopPlace:26014,Hattaskaret,58.565607,6.003763,bus
NSR:StopPlace:26015,Ur-Eikeland,58.823446,5.860895,bus
NSR:StopPlace:26010,Sandeid fengsel,59.553766,5.829146,bus
NSR:StopPlace:26011,Uninor,58.436885,5.976471,bus
NSR:StopPlace:26012,Vardeneset kirke,58.993447,5.677086,bus
NSR:StopPlace:16690,Krøderen Kro,60.16635,9.704835,bus
NSR:StopPlace:16691,Sølvverket snuplass,59.630653,9.602187,bus
NSR:StopPlace:26017,Sandeid sentrum,59.543911,5.864258,bus
NSR:StopPlace:26018,Hattelandsvegen,58.775791,5.646098,bus
NSR:StopPlace:26019,Urdal,58.371915,6.263645,bus
NSR:StopPlace:16698,Lysmyra,59.61665,9.65658,bus
NSR:StopPlace:16699,Nordre Gren,60.17207,9.67214,bus
NSR:StopPlace:16696,Labro,59.621588,9.664072,bus
NSR:StopPlace:16697,Tranbylia,59.812955,10.270667,bus
NSR:StopPlace:16694,Tranby skole,59.810066,10.270986,bus
NSR:StopPlace:16695,Søndre Gren,60.170605,9.685085,bus
NSR:StopPlace:16692,Bjørkesvingen,59.806939,10.267644,bus
NSR:StopPlace:16693,Rudsmoen,59.6216,9.68184,bus
NSR:StopPlace:26025,Sandesletta,58.892119,5.652013,bus
NSR:StopPlace:26026,Haualand,58.900826,5.843549,bus
NSR:StopPlace:26027,Urskjellveien,58.924797,5.843394,bus
NSR:StopPlace:26021,Sandeid skule,59.544549,5.863218,bus
NSR:StopPlace:26022,Hauabrekkå,59.382182,5.407744,bus
NSR:StopPlace:26023,Urnesvegen,59.312393,5.465918,bus
NSR:StopPlace:26028,Sandestranden,59.022694,5.595016,bus
NSR:StopPlace:26029,Sandevegen,58.893818,5.654931,bus
NSR:StopPlace:16678,Tallaksrud,59.819847,10.252826,bus
NSR:StopPlace:16679,Arsenalet,59.62672,9.63365,bus
NSR:StopPlace:7102,Nysted,60.98744,11.441277,bus
NSR:StopPlace:7100,Torgerstuen,60.993871,11.427326,bus
NSR:StopPlace:16676,Hamremoen gård,60.16845,9.73383,bus
NSR:StopPlace:16677,Solstad,59.62205,9.656465,bus
NSR:StopPlace:16674,Sunnegrenna øvre,59.62475,9.646955,bus
NSR:StopPlace:16675,Buttedal,59.822836,10.254273,bus
NSR:StopPlace:16672,Dælenggata,59.8247,10.255071,bus
NSR:StopPlace:16673,Redalskrysset,60.1756,9.73982,bus
NSR:StopPlace:16670,Kongsgårdsmoen skole,59.627178,9.643534,bus
NSR:StopPlace:16671,Nordal skole,59.828677,10.256497,bus
NSR:StopPlace:16689,Hennumkrysset,59.808518,10.2606,bus
NSR:StopPlace:7110,Gunnerud,60.762898,11.105757,bus
NSR:StopPlace:26004,Undheimshallen,58.686259,5.767323,bus
NSR:StopPlace:26005,Sande skole,58.889219,5.652721,bus
NSR:StopPlace:7113,Nybø,60.952115,11.487544,bus
NSR:StopPlace:7114,Kvilavegen,60.774867,11.120271,bus
NSR:StopPlace:26000,Sande,59.02563,5.590574,bus
NSR:StopPlace:7111,Sætersmoen,60.971379,11.477811,bus
NSR:StopPlace:26001,Haringstad,59.276199,5.229147,bus
NSR:StopPlace:7106,Øksna,60.979194,11.460672,bus
NSR:StopPlace:16680,Lyngåsbanen,59.817376,10.249705,bus
NSR:StopPlace:7104,Stenshjemmet,60.982636,11.451956,bus
NSR:StopPlace:26006,Sande terrasse,58.886124,5.653497,bus
NSR:StopPlace:26007,Ungdomsvegen,58.770819,5.731014,bus
NSR:StopPlace:26008,Hasselvegen,58.783361,5.616484,bus
NSR:StopPlace:16687,Strand,60.164233,9.717166,bus
NSR:StopPlace:16688,Saggrenda dam,59.627298,9.602219,bus
NSR:StopPlace:16685,Hårbergbakken,59.813143,10.252223,bus
NSR:StopPlace:16686,Saggrenda,59.62495,9.605845,bus
NSR:StopPlace:16683,Lyngåskrysset,59.815202,10.248273,bus
NSR:StopPlace:16684,Moane,59.6248,9.62106,bus
NSR:StopPlace:16681,Jordbrua,59.6251,9.630045,bus
NSR:StopPlace:16658,Gudes gate,59.64695,9.64009,bus
NSR:StopPlace:16656,Svartåsveien,59.65007,9.636805,bus
NSR:StopPlace:16657,Åmotveien,59.850431,10.27297,bus
NSR:StopPlace:7120,Grundsetbekken,60.922123,11.513142,bus
NSR:StopPlace:7125,Skogstad,60.901814,11.527605,bus
NSR:StopPlace:7122,Hobergvegen,60.775467,11.124557,bus
NSR:StopPlace:7123,Svenkerud,60.908425,11.521628,bus
NSR:StopPlace:7117,Lillevoll,60.933755,11.507534,bus
NSR:StopPlace:7116,Lille-Grundset,60.938745,11.50282,bus
NSR:StopPlace:7119,Arstad skole,60.771362,11.113272,bus
NSR:StopPlace:16654,Torsrud,59.857143,10.278834,bus
NSR:StopPlace:16652,Rundtomåsveien,59.8602,10.28195,bus
NSR:StopPlace:16653,Kirkegårdsveien,59.652665,9.6432,bus
NSR:StopPlace:16669,Lyngveien,59.6306,9.64125,bus
NSR:StopPlace:16667,Ørte bru,60.199,9.789385,bus
NSR:StopPlace:16668,Røed,59.83376,10.25842,bus
NSR:StopPlace:7131,Sandgata,60.851394,11.578983,bus
NSR:StopPlace:7130,Bekkholt,62.258663,10.742269,bus
NSR:StopPlace:7136,Hanstad skole rv. 2,60.860415,11.566019,bus
NSR:StopPlace:7133,Idrettsvegen,60.779932,11.125417,bus
NSR:StopPlace:7134,Hanstad nord,60.86626,11.561879,bus
NSR:StopPlace:7128,Skogmuséet,60.870322,11.562775,bus
NSR:StopPlace:7129,Lyngvegen,60.776207,11.12817,bus
NSR:StopPlace:16665,Sørsdalgata,59.838583,10.261273,bus
NSR:StopPlace:16666,Veungsdalskrysset,59.632341,9.640653,bus
NSR:StopPlace:16664,Veungsdalen,59.639285,9.642005,bus
NSR:StopPlace:16661,Steglet,59.6428,9.64207,bus
NSR:StopPlace:16662,Sørsdal,59.8402,10.2648,bus
NSR:StopPlace:16660,Bjerknes,59.8436,10.268389,bus
NSR:StopPlace:51093,Gryttingveien 9,67.263672,15.407731,bus
NSR:StopPlace:51094,Svarttjønneng,66.340068,14.559036,bus
NSR:StopPlace:51095,Jennestad sør,68.749583,15.307739,bus
NSR:StopPlace:51092,Stemlandssvingen,67.285431,15.142875,bus
NSR:StopPlace:51097,Fauske helsetun,67.261906,15.397242,bus
NSR:StopPlace:51099,Amfi Fauske,67.258579,15.395308,bus
NSR:StopPlace:51082,Vensetmyra ytre,67.270889,15.151614,bus
NSR:StopPlace:51084,Medberget,67.276715,15.145372,bus
NSR:StopPlace:51085,Flatlia,66.336813,14.426014,bus
NSR:StopPlace:51080,Gullsvåg kryss,65.689833,11.867985,bus
NSR:StopPlace:51081,Sandstrand,68.745408,15.347476,bus
NSR:StopPlace:51086,Vollan,67.27681,15.125374,bus
NSR:StopPlace:51088,Sandstrandåsen,68.747128,15.334396,bus
NSR:StopPlace:51089,Medberget nedre,67.280525,15.144427,bus
NSR:StopPlace:26094,Sankt Franciscus,59.403146,5.281503,bus
NSR:StopPlace:26095,Valaberget,58.916064,5.689565,bus
NSR:StopPlace:26096,Haugesund stadion,59.412513,5.277565,bus
NSR:StopPlace:26090,Haugesund hurtigbåtkai,59.411636,5.268354,water
NSR:StopPlace:26091,Mosbakka,59.639641,6.298269,bus
NSR:StopPlace:26092,Vaka grendahus,59.633871,5.780099,bus
NSR:StopPlace:26097,Sannarnes,58.479943,5.850198,bus
NSR:StopPlace:26099,Sannerudkrysset,58.824976,5.71431,bus
NSR:StopPlace:26071,Vadet,58.841544,5.691738,bus
NSR:StopPlace:26073,Haugen,58.826337,5.723059,bus
NSR:StopPlace:26074,Sandvik,59.356732,5.666022,bus
NSR:StopPlace:26079,Vadlåsen,58.448428,5.976885,bus
NSR:StopPlace:26075,Vadla,59.324824,6.430714,bus
NSR:StopPlace:26076,Viland,59.522456,5.815195,bus
NSR:StopPlace:26077,Haugen,59.432279,5.613466,bus
NSR:StopPlace:26078,Sandvik snuplass,59.632284,6.299562,bus
NSR:StopPlace:26082,Vagle,58.814004,5.724365,bus
NSR:StopPlace:26085,Sandvikbakken,58.869663,5.767079,bus
NSR:StopPlace:26080,Sandvika,58.870759,5.767474,bus
NSR:StopPlace:26086,Vaglemoen,58.807717,5.725002,bus
NSR:StopPlace:26087,Sandvikdalen,59.635995,6.297524,bus
NSR:StopPlace:26088,Vaka,59.630405,5.782151,bus
NSR:StopPlace:26089,Sandviknesvegen,59.665354,5.579472,bus
NSR:StopPlace:26051,Sandnesgata,58.962989,5.759397,bus
NSR:StopPlace:26052,Haugane øst,59.603723,5.834674,bus
NSR:StopPlace:26058,Sandskaret,58.841882,5.726047,bus
NSR:StopPlace:26053,Utsira nord ferjekai,59.31199,4.884798,water
NSR:StopPlace:26055,Hauge,58.750833,5.628,bus
NSR:StopPlace:26056,Klosterøy,59.097473,5.604799,bus
NSR:StopPlace:26060,Utsyn,58.814999,5.622838,bus
NSR:StopPlace:26061,Sandsteinsvegen,59.030376,6.044629,bus
NSR:StopPlace:26062,Hauge i Dalane,58.343281,6.295464,bus
NSR:StopPlace:26063,Sandve nord,59.176677,5.193639,bus
NSR:StopPlace:26068,Vådeland,58.768758,5.607381,bus
NSR:StopPlace:26069,Sandvedhagen,58.837648,5.7228,bus
NSR:StopPlace:26065,Sandve sør,59.173031,5.200621,bus
NSR:StopPlace:26067,Sandved skole,58.842386,5.715814,bus
NSR:StopPlace:41698,Reppe snuplass,63.415996,10.557936,bus
NSR:StopPlace:41699,Hesttrøa,63.294605,10.332389,bus
NSR:StopPlace:41696,Hesttrø,63.29805,10.483272,bus
NSR:StopPlace:41694,Renbrua,62.837636,11.328876,bus
NSR:StopPlace:41692,Tovehaugen,63.195643,9.584747,bus
NSR:StopPlace:41693,Reksa,63.645885,9.16953,bus
NSR:StopPlace:41691,Hestsjøen,63.35638,10.271886,bus
NSR:StopPlace:51018,Hongset kryss,65.399493,12.567826,bus
NSR:StopPlace:51013,Storsæter kryss,67.934518,15.21089,bus
NSR:StopPlace:51015,Akset,65.391734,12.551525,bus
NSR:StopPlace:51010,Haug syd,68.128429,13.54194,bus
NSR:StopPlace:51011,Høybakkmoen kryss,68.177046,13.63053,bus
NSR:StopPlace:51012,Aspåsen,67.278498,14.378453,bus
NSR:StopPlace:41689,Hestnes,63.590277,8.588779,bus
NSR:StopPlace:41687,Reitan bru,62.950525,11.806124,bus
NSR:StopPlace:41688,Torvtaket,63.348511,10.377116,bus
NSR:StopPlace:41685,Hessdalskrysset,62.848628,11.244818,bus
NSR:StopPlace:41686,Reitan,63.323756,9.822502,bus
NSR:StopPlace:41683,Reitstøa,62.964137,10.86771,bus
NSR:StopPlace:41684,Torvmyra,63.361346,10.390794,bus
NSR:StopPlace:41681,Hessdalskjølen,62.835082,11.202943,bus
NSR:StopPlace:41682,Reinskleiva,63.225026,9.787351,bus
NSR:StopPlace:41680,Torvet,63.551486,9.924828,bus
NSR:StopPlace:51008,Offersøy,68.156576,13.527274,bus
NSR:StopPlace:51002,Solvoll,67.288593,14.408415,bus
NSR:StopPlace:51003,Hornflesa,68.134269,13.502855,bus
NSR:StopPlace:51004,Nordlandssykehuset,67.284783,14.398208,bus
NSR:StopPlace:51005,Opdøl,68.182048,13.62743,bus
NSR:StopPlace:51000,Farstad,68.188522,13.656529,bus
NSR:StopPlace:51001,Vian,68.184983,13.640954,bus
NSR:StopPlace:51030,Einangen,65.897038,12.453422,bus
NSR:StopPlace:51035,Ømmervatnet kryss,65.997541,13.447813,bus
NSR:StopPlace:51036,Soltun,65.469078,12.145128,bus
NSR:StopPlace:51038,Fjøsdalen snuplass,65.4807,12.367285,bus
NSR:StopPlace:51031,Almli Saltfjellveien,66.414213,14.73956,bus
NSR:StopPlace:51032,Einvoll snuplass,65.41451,12.081618,bus
NSR:StopPlace:51033,Buksnes kirke,68.115901,13.558997,bus
NSR:StopPlace:51034,Glein,66.157109,12.609835,bus
NSR:StopPlace:51028,Eidem snuplass,65.612409,11.846436,bus
NSR:StopPlace:51029,Almdal,65.844198,13.519953,bus
NSR:StopPlace:51025,Valsvingen,65.481209,12.220267,bus
NSR:StopPlace:51026,Buksnes,68.118381,13.552101,bus
NSR:StopPlace:51020,Aldra hurtigbåtkai,66.400539,13.117762,water
NSR:StopPlace:51021,Jamtnes,65.902667,12.522372,bus
NSR:StopPlace:51022,Bådstø kryss,66.062668,12.810128,bus
NSR:StopPlace:51050,Frilstad,65.32234,12.295257,bus
NSR:StopPlace:51051,Alsvåg,68.901452,15.279655,bus
NSR:StopPlace:51052,Fuglstad,65.033489,12.550245,bus
NSR:StopPlace:51058,Toften,68.72936,15.404349,bus
NSR:StopPlace:51059,Holstad,67.262281,15.222404,bus
NSR:StopPlace:51053,Granli,67.26846,15.227993,bus
NSR:StopPlace:51054,Færset kryss,65.654157,11.946657,bus
NSR:StopPlace:51056,Solbakk,67.265392,15.222611,bus
NSR:StopPlace:51041,Floa,65.640845,11.936218,bus
NSR:StopPlace:51046,Alstadtunet,67.273901,14.464901,bus
NSR:StopPlace:51047,Fredheim kryss,65.377209,12.203805,bus
NSR:StopPlace:51049,Gjerstadnesset kryss,68.106841,13.547132,bus
NSR:StopPlace:51042,Alstad kryss,68.272232,13.937377,bus
NSR:StopPlace:51071,Venset ytre,67.258107,15.166974,bus
NSR:StopPlace:51072,Grønnmoen,65.373332,12.304875,bus
NSR:StopPlace:51073,Hundholmen,67.2611,15.156936,bus
NSR:StopPlace:51074,Jektbogen,68.743263,15.371362,bus
NSR:StopPlace:51070,Grindhaugen kryss,65.681829,12.120132,bus
NSR:StopPlace:51079,Vensetmyra,67.268366,15.153952,bus
NSR:StopPlace:51075,Grønnåsen,65.955079,12.504898,bus
NSR:StopPlace:51076,Jodal,67.264183,15.154023,bus
NSR:StopPlace:51077,Grøtheim kryss,65.348304,12.226708,bus
NSR:StopPlace:51078,Gullsvåg,65.682991,11.860475,bus
NSR:StopPlace:51060,Gladstad,65.675479,11.963701,bus
NSR:StopPlace:51061,Holstad ytre,67.257968,15.210765,bus
NSR:StopPlace:51062,Gladstad skole,65.675623,11.95262,bus
NSR:StopPlace:51063,Venset indre,67.257174,15.196548,bus
NSR:StopPlace:51068,Venset,67.255842,15.173092,bus
NSR:StopPlace:51069,Grindhaugen snuplass,65.687901,12.120722,bus
NSR:StopPlace:51065,Djupvik,67.256735,15.183809,bus
NSR:StopPlace:51066,Ramflaug,68.740148,15.381119,bus
NSR:StopPlace:51067,Grimsøy,65.673885,12.045491,bus
NSR:StopPlace:16519,Svingen,60.71323,8.936785,bus
NSR:StopPlace:16517,Raaen skole,60.14792,9.69291,bus
NSR:StopPlace:16518,Ryghkollen,59.75238,10.045595,bus
NSR:StopPlace:16515,Stryken,59.74953,10.060177,bus
NSR:StopPlace:16516,Petterbråten,60.709205,8.931265,bus
NSR:StopPlace:16513,Lundteigen,59.751,10.0789,bus
NSR:StopPlace:16514,Rotneim skole,60.6849,8.84535,bus
NSR:StopPlace:7021,Amalie Skrams veg,60.864698,11.575701,bus
NSR:StopPlace:7025,Grindal gård,60.886782,11.546837,bus
NSR:StopPlace:7026,Bessa,60.771804,11.119623,bus
NSR:StopPlace:7023,Henrik Ibsens veg/Henrik Wergelands veg,60.866126,11.565012,bus
NSR:StopPlace:7016,Johan Falkbergets veg,60.85931,11.569552,bus
NSR:StopPlace:7017,Hanstad skole,60.86138,11.568355,bus
NSR:StopPlace:16511,Jegleheim,60.690464,8.873305,bus
NSR:StopPlace:16512,Raaen,60.14665,9.700235,bus
NSR:StopPlace:16510,Nordre Slotto,60.6914,8.87861,bus
NSR:StopPlace:16528,Rustesvingen,60.72455,8.97694,bus
NSR:StopPlace:16529,Mjøndalen skole,59.747723,10.010889,bus
NSR:StopPlace:16526,Rådhusgata,59.74915,10.0076,bus
NSR:StopPlace:16527,Haslerudodden,60.153984,9.678489,bus
NSR:StopPlace:16524,Helsehuset,59.751246,10.02702,bus
NSR:StopPlace:16525,Olavsbråten,60.72255,8.974825,bus
NSR:StopPlace:7033,Simlevegen,60.893114,11.522526,bus
NSR:StopPlace:7030,Langslettvegen/Markvegen,60.889832,11.538061,bus
NSR:StopPlace:7031,Tønseth,60.769569,11.127362,bus
NSR:StopPlace:7036,Hjortefaret,60.890001,11.535536,bus
NSR:StopPlace:7037,Hoberg skole,60.772093,11.131293,bus
NSR:StopPlace:7034,Grevlingvegen,60.890766,11.535145,bus
NSR:StopPlace:7027,Furuvegen,60.888281,11.54042,bus
NSR:StopPlace:16522,Halden,60.153149,9.683069,bus
NSR:StopPlace:16523,Bakkeberget,60.72032,8.96454,bus
NSR:StopPlace:16520,Osbakken,59.75221,10.040735,bus
NSR:StopPlace:16521,Åsgardane barnehage,60.718515,8.941865,bus
NSR:StopPlace:41517,Slyngstad vest,62.542035,6.511132,bus
NSR:StopPlace:41518,Slyngstadelva,62.543489,6.522344,bus
NSR:StopPlace:41515,Ringstadkrysset vest,62.306783,6.921966,bus
NSR:StopPlace:7040,Otervegen,60.888554,11.536264,bus
NSR:StopPlace:41516,Slyngstad byggefelt,62.543175,6.533728,bus
NSR:StopPlace:41513,Slyngstad barnehage,62.53936,6.500818,bus
NSR:StopPlace:41514,Ringstad skule,62.307854,6.936505,bus
NSR:StopPlace:41511,Slyngstad,62.543259,6.517841,bus
