stationId,stationName,scheduledDeparture,expectedDeparture,actualDeparture,delaySeconds,isDelayed,destination,lineId,lineName,lineCode,transportMode,serviceJourneyId,realtime,delaySource,cancellation,situationSummary,situationDescription,situationReportType,situationSeverity,scrapedAt
NSR:StopPlace:58833,Gol stasjon,2026-08-09T11:54:00+02:00,2026-08-09T12:18:18+02:00,2026-08-09T12:18:18+02:00,1458.0,1,Oslo S,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:62-BRG_548180-R,True,actual,False,Stopper ekstra på Haugastøl,Dette toget stopper ekstra på Haugastøl.,general,normal,2026-08-09T12:20:41.823229+02:00
NSR:StopPlace:58841,Ål stasjon,2026-08-09T11:35:00+02:00,2026-08-09T11:56:44+02:00,2026-08-09T11:56:44+02:00,1304.0,1,Oslo S,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:62-BRG_548180-R,True,actual,False,Stopper ekstra på Haugastøl,Dette toget stopper ekstra på Haugastøl.,general,normal,2026-08-09T12:20:41.823229+02:00
NSR:StopPlace:358,Ustaoset stasjon,2026-08-09T10:57:00+02:00,2026-08-09T11:16:54+02:00,2026-08-09T11:16:54+02:00,1194.0,1,Oslo S,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:62-BRG_548180-R,True,actual,False,Stopper ekstra på Haugastøl,Dette toget stopper ekstra på Haugastøl.,general,normal,2026-08-09T12:20:41.823229+02:00
NSR:StopPlace:58832,Geilo stasjon,2026-08-09T11:12:00+02:00,2026-08-09T11:30:10+02:00,2026-08-09T11:30:10+02:00,1090.0,1,Oslo S,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:62-BRG_548180-R,True,actual,False,Stopper ekstra på Haugastøl,Dette toget stopper ekstra på Haugastøl.,general,normal,2026-08-09T12:20:41.823229+02:00
NSR:StopPlace:59636,Holmlia stasjon,2026-08-09T02:45:00+02:00,2026-08-09T03:00:37+02:00,2026-08-09T03:00:37+02:00,937.0,1,Kringsjå,RUT:Line:3919,Kringsjå - Åsbråten,19N,bus,RUT:ServiceJourney:fbb222b5ecce0c82b0fd87712ffa8d1d,True,actual,False,,,,,2026-08-09T05:22:51.436058+02:00
NSR:StopPlace:59635,Hauketo stasjon,2026-08-09T02:49:00+02:00,2026-08-09T03:04:05+02:00,2026-08-09T03:04:05+02:00,905.0,1,Kringsjå,RUT:Line:3919,Kringsjå - Åsbråten,19N,bus,RUT:ServiceJourney:fbb222b5ecce0c82b0fd87712ffa8d1d,True,actual,False,,,,,2026-08-09T05:22:51.436058+02:00
NSR:StopPlace:61295,Haugastøl stasjon,2026-08-09T10:25:00+02:00,2026-08-09T10:39:38+02:00,2026-08-09T10:39:38+02:00,878.0,1,Bergen,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:61-LOD_548179-R,True,actual,False,,,,,2026-08-09T12:20:41.823229+02:00
NSR:StopPlace:200,Finse stasjon,2026-08-09T10:49:00+02:00,2026-08-09T11:03:36+02:00,2026-08-09T11:03:36+02:00,876.0,1,Bergen,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:61-LOD_548179-R,True,actual,False,,,,,2026-08-09T12:20:41.823229+02:00
NSR:StopPlace:59651,Skøyen stasjon,2026-08-09T07:13:00+02:00,2026-08-09T07:27:04+02:00,2026-08-09T07:27:04+02:00,844.0,1,Stabekk,VYG:Line:R21,Stabekk-Oslo S-Moss,R21,rail,VYG:ServiceJourney:1110-MOS_442985-R,True,actual,False,Innstilt Skøyen–Stabekk | Ta neste tog,Toget er innstilt mellom Skøyen og Stabekk. Dette skyldes en signalfeil. | Ta neste tog mellom Skøyen og Høvik.,incident | incident,normal | normal,2026-08-09T08:34:33.193643+02:00
NSR:StopPlace:58404,Nationaltheatret,2026-08-09T07:09:00+02:00,2026-08-09T07:22:54+02:00,2026-08-09T07:22:54+02:00,834.0,1,Stabekk,VYG:Line:R21,Stabekk-Oslo S-Moss,R21,rail,VYG:ServiceJourney:1110-MOS_442985-R,True,actual,False,,,,,2026-08-09T08:34:33.193643+02:00
