stationId,stationName,scheduledDeparture,expectedDeparture,actualDeparture,delaySeconds,isDelayed,destination,lineId,lineName,lineCode,transportMode,serviceJourneyId,realtime,delaySource,cancellation,situationSummary,situationDescription,situationReportType,situationSeverity,scrapedAt
NSR:StopPlace:61608,Kristiansand stasjon,2026-07-07T02:17:00+02:00,2026-07-07T02:31:49+02:00,2026-07-07T02:31:49+02:00,889.0,1,Oslo S,GOA:Line:50,Sørtoget region,F5,rail,GOA:ServiceJourney:726-KVB_68408-R,True,actual,False,,,,,2026-07-07T02:51:44.832134+02:00
NSR:StopPlace:58921,Vennesla stasjon,2026-07-07T02:36:00+02:00,2026-07-07T02:46:54+02:00,2026-07-07T02:46:54+02:00,654.0,1,Oslo S,GOA:Line:50,Sørtoget region,F5,rail,GOA:ServiceJourney:726-KVB_68408-R,True,actual,False,,,,,2026-07-07T03:02:08.974890+02:00
NSR:StopPlace:58921,Vennesla stasjon,2026-07-07T03:17:00+02:00,2026-07-07T03:26:43+02:00,2026-07-07T03:26:43+02:00,583.0,1,Stavanger,GOA:Line:50,Sørtoget region,F5,rail,GOA:ServiceJourney:725-LOD_68591-R,True,actual,False,,,,,2026-07-07T03:32:02.186314+02:00
NSR:StopPlace:58966,Porsgrunn stasjon,2026-07-07T02:29:00+02:00,2026-07-07T02:34:18+02:00,2026-07-07T02:34:18+02:00,318.0,1,Skien,VYG:Line:RE11,Eidsvoll-Oslo S-Skien,RE11,rail,VYG:ServiceJourney:BUS-839_613805-R,True,actual,False,,,,,2026-07-07T02:51:44.832134+02:00
NSR:StopPlace:58930,Larvik stasjon,2026-07-07T02:04:00+02:00,2026-07-07T02:09:03+02:00,2026-07-07T02:09:03+02:00,303.0,1,Skien,VYG:Line:RE11,Eidsvoll-Oslo S-Skien,RE11,rail,VYG:ServiceJourney:BUS-839_613805-R,True,actual,False,,,,,2026-07-07T02:32:02.501774+02:00
NSR:StopPlace:4,Otta stasjon,2026-07-07T02:57:00+02:00,2026-07-07T03:01:16+02:00,2026-07-07T03:01:16+02:00,256.0,1,Trondheim S,SJN:Line:21,Dovrebanen,F6,rail,SJN:ServiceJourney:80405-LOD_37873-R,True,actual,False,,,,,2026-07-07T03:21:55.035783+02:00
NSR:StopPlace:58833,Gol stasjon,2026-07-07T02:09:00+02:00,2026-07-07T02:13:00+02:00,2026-07-07T02:13:00+02:00,240.0,1,Bergen,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:605-LOD_548175-R,True,actual,False,,,,,2026-07-07T02:32:02.501774+02:00
NSR:StopPlace:58841,Ål stasjon,2026-07-07T02:31:00+02:00,2026-07-07T02:34:04+02:00,2026-07-07T02:34:04+02:00,184.0,1,Bergen,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:605-LOD_548175-R,True,actual,False,,,,,2026-07-07T02:51:44.832134+02:00
NSR:StopPlace:58966,Porsgrunn stasjon,2026-07-07T03:27:00+02:00,2026-07-07T03:29:37+02:00,2026-07-07T03:29:37+02:00,157.0,1,Tønsberg,VYG:Line:RE11,Eidsvoll-Oslo S-Skien,RE11,rail,VYG:ServiceJourney:BUS-802_613335-R,True,actual,False,,,,,2026-07-07T03:32:02.186314+02:00
NSR:StopPlace:58404,Nationaltheatret,2026-07-07T02:34:00+02:00,2026-07-07T02:36:32+02:00,2026-07-07T02:36:32+02:00,152.0,1,Helsfyr,RUT:Line:37,Nydalen T - Helsfyr,37,bus,RUT:ServiceJourney:77c31f85027713b634cc8572e5979438,True,actual,False,,,,,2026-07-07T02:51:44.832134+02:00
NSR:StopPlace:425,Vinstra stasjon,2026-07-07T02:27:00+02:00,2026-07-07T02:29:21+02:00,2026-07-07T02:29:21+02:00,141.0,1,Trondheim S,SJN:Line:21,Dovrebanen,F6,rail,SJN:ServiceJourney:80405-LOD_37873-R,True,actual,False,,,,,2026-07-07T02:51:44.832134+02:00
NSR:StopPlace:4,Otta stasjon,2026-07-07T03:11:00+02:00,2026-07-07T03:13:18+02:00,2026-07-07T03:13:18+02:00,138.0,1,Oslo S,SJN:Line:21,Dovrebanen,F6,rail,SJN:ServiceJourney:80406-TND_37874-R,True,actual,False,,,,,2026-07-07T03:32:02.186314+02:00
NSR:StopPlace:58856,Lysaker stasjon,2026-07-07T02:36:00+02:00,2026-07-07T02:37:56+02:00,2026-07-07T02:37:56+02:00,116.0,1,Grorud T,RUT:Line:31,Snarøya - Fornebu - Tonsenhagen - Grorud,31,bus,RUT:ServiceJourney:94a2b6922eaed4a9b0a1fe3b711e0a95,True,actual,False,,,,,2026-07-07T03:02:08.974890+02:00
NSR:StopPlace:58833,Gol stasjon,2026-07-07T03:25:00+02:00,2026-07-07T03:26:42+02:00,2026-07-07T03:26:42+02:00,102.0,1,Oslo S,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:606-BRG_548176-R,True,actual,False,,,,,2026-07-07T03:32:02.186314+02:00
NSR:StopPlace:58884,Skien stasjon,2026-07-07T03:11:00+02:00,2026-07-07T03:12:40+02:00,2026-07-07T03:12:40+02:00,100.0,1,Tønsberg,VYG:Line:RE11,Eidsvoll-Oslo S-Skien,RE11,rail,VYG:ServiceJourney:BUS-802_613335-R,True,actual,False,,,,,2026-07-07T03:32:02.186314+02:00
NSR:StopPlace:59651,Skøyen stasjon,2026-07-07T02:41:00+02:00,2026-07-07T02:42:40+02:00,2026-07-07T02:42:40+02:00,100.0,1,Grorud T,RUT:Line:31,Snarøya - Fornebu - Tonsenhagen - Grorud,31,bus,RUT:ServiceJourney:94a2b6922eaed4a9b0a1fe3b711e0a95,True,actual,False,,,,,2026-07-07T03:02:08.974890+02:00
NSR:StopPlace:59648,Kjelsås stasjon,2026-07-07T02:48:00+02:00,2026-07-07T02:49:33+02:00,2026-07-07T02:49:33+02:00,93.0,1,Jernbanetorget,RUT:Line:3911,Majorstuen - Kjelsås,11N,bus,RUT:ServiceJourney:5cc064f5f8d2041ab6375e2f8e22d665,True,actual,False,,,,,2026-07-07T03:11:46.866954+02:00
NSR:StopPlace:61295,Haugastøl stasjon,2026-07-07T03:29:00+02:00,2026-07-07T03:30:28+02:00,2026-07-07T03:30:28+02:00,88.0,1,Bergen,VYG:Line:F4,Oslo S-Bergen,F4,rail,VYG:ServiceJourney:605-LOD_548175-R,True,actual,False,,,,,2026-07-07T03:32:02.186314+02:00
NSR:StopPlace:58811,Moelv stasjon,2026-07-07T02:02:30+02:00,2026-07-07T02:03:58+02:00,2026-07-07T02:03:58+02:00,88.0,1,Lillehammer,VYG:Line:RE11,Eidsvoll-Oslo S-Skien,RE11,rail,VYG:ServiceJourney:341-EVL_625427-R,True,actual,False,,,,,2026-07-07T02:21:49.880202+02:00
NSR:StopPlace:58891,Vegårshei stasjon,2026-07-07T02:01:00+02:00,2026-07-07T02:02:22+02:00,2026-07-07T02:02:22+02:00,82.0,1,Stavanger,GOA:Line:50,Sørtoget region,F5,rail,GOA:ServiceJourney:725-LOD_68591-R,True,actual,False,,,,,2026-07-07T02:21:49.880202+02:00
