stationId,stationName,scheduledDeparture,expectedDeparture,actualDeparture,delaySeconds,isDelayed,destination,lineId,lineName,lineCode,transportMode,serviceJourneyId,realtime,delaySource,cancellation,situationSummary,situationDescription,situationReportType,situationSeverity,scrapedAt
NSR:StopPlace:58925,Gausel stasjon,2026-05-18T00:36:00+02:00,2026-05-17T00:37:35+02:00,2026-05-17T00:37:35+02:00,0.0,0,Risavika via Stavanger,KOL:Line:8_1002,2,2,bus,KOL:ServiceJourney:1002_260422145977019_4046,True,actual,False,,,,,2026-05-17T01:01:36.475896+02:00
NSR:StopPlace:59957,Klepp stasjon,2026-05-18T00:27:00+02:00,2026-05-17T00:27:39+02:00,2026-05-17T00:27:39+02:00,0.0,0,Verdalen via Kleppekrossen,KOL:Line:8_2024,59,59,bus,KOL:ServiceJourney:2024_250619122710369_4019,True,actual,False,,,,,2026-05-17T00:51:20.630006+02:00
NSR:StopPlace:58925,Gausel stasjon,2026-05-18T00:25:00+02:00,2026-05-17T00:27:25+02:00,2026-05-17T00:27:25+02:00,0.0,0,Viste Hageby via Stavanger,KOL:Line:8_1004,3,3,bus,KOL:ServiceJourney:1004_260422113859961_4063,True,actual,False,,,,,2026-05-17T00:51:20.630006+02:00
NSR:StopPlace:58925,Gausel stasjon,2026-05-18T00:15:00+02:00,2026-05-17T00:16:31+02:00,2026-05-17T00:16:31+02:00,0.0,0,Vardenes via UiS-Stavanger,KOL:Line:8_1007,6,6,bus,KOL:ServiceJourney:1007_251210064511644_4074,True,actual,False,,,,,2026-05-17T00:34:59.422569+02:00
NSR:StopPlace:58925,Gausel stasjon,2026-05-18T00:10:00+02:00,2026-05-17T00:11:46+02:00,2026-05-17T00:11:46+02:00,0.0,0,Viste Hageby via Stavanger,KOL:Line:8_1004,3,3,bus,KOL:ServiceJourney:1004_260422113859964_4064,True,actual,False,,,,,2026-05-17T00:31:27.482958+02:00
NSR:StopPlace:60569,Sirevåg stasjon,2026-05-17T02:54:00+02:00,2026-05-16T02:58:17+02:00,2026-05-16T02:58:17+02:00,0.0,0,Egersund,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3092_63145-R,True,actual,False,,,,,2026-05-16T03:21:20.619195+02:00
NSR:StopPlace:61979,Hellvik stasjon,2026-05-17T02:59:00+02:00,2026-05-16T03:03:05+02:00,2026-05-16T03:03:05+02:00,0.0,0,Egersund,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3092_63145-R,True,actual,False,,,,,2026-05-16T03:21:20.619195+02:00
NSR:StopPlace:61334,Ogna stasjon,2026-05-17T02:51:00+02:00,2026-05-16T02:55:17+02:00,2026-05-16T02:55:17+02:00,0.0,0,Egersund,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3092_63145-R,True,actual,False,,,,,2026-05-16T03:11:19.624949+02:00
NSR:StopPlace:62311,Vigrestad stasjon,2026-05-17T02:43:00+02:00,2026-05-16T02:47:33+02:00,2026-05-16T02:47:33+02:00,0.0,0,Egersund,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3092_63145-R,True,actual,False,,,,,2026-05-16T03:11:19.624949+02:00
NSR:StopPlace:62310,Brusand stasjon,2026-05-17T02:47:00+02:00,2026-05-16T02:51:44+02:00,2026-05-16T02:51:44+02:00,0.0,0,Egersund,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3092_63145-R,True,actual,False,,,,,2026-05-16T03:11:19.624949+02:00
NSR:StopPlace:61872,Nærbø stasjon,2026-05-17T02:32:00+02:00,2026-05-16T02:38:00+02:00,2026-05-16T02:38:00+02:00,0.0,0,Egersund,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3092_63145-R,True,actual,False,,,,,2026-05-16T03:01:36.289559+02:00
NSR:StopPlace:60271,Varhaug stasjon,2026-05-17T02:39:00+02:00,2026-05-16T02:42:15+02:00,2026-05-16T02:42:15+02:00,0.0,0,Egersund,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3092_63145-R,True,actual,False,,,,,2026-05-16T03:01:36.289559+02:00
NSR:StopPlace:8,Paradis stasjon,2026-05-17T02:28:00+02:00,2026-05-16T02:32:10+02:00,2026-05-16T02:32:10+02:00,0.0,0,Stavanger,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3093_63146-R,True,actual,False,,,,,2026-05-16T02:51:15.737648+02:00
NSR:StopPlace:59957,Klepp stasjon,2026-05-17T02:22:00+02:00,2026-05-16T02:26:30+02:00,2026-05-16T02:26:30+02:00,0.0,0,Egersund,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3092_63145-R,True,actual,False,,,,,2026-05-16T02:51:15.737648+02:00
NSR:StopPlace:58924,Bryne stasjon,2026-05-17T02:27:00+02:00,2026-05-16T02:30:36+02:00,2026-05-16T02:30:36+02:00,0.0,0,Egersund,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3092_63145-R,True,actual,False,,,,,2026-05-16T02:51:15.737648+02:00
NSR:StopPlace:206,Mariero stasjon,2026-05-17T02:25:00+02:00,2026-05-16T02:29:21+02:00,2026-05-16T02:29:21+02:00,0.0,0,Stavanger,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3093_63146-R,True,actual,False,,,,,2026-05-16T02:51:15.737648+02:00
NSR:StopPlace:61251,Øksnavadporten stasjon,2026-05-17T02:19:00+02:00,2026-05-16T02:24:03+02:00,2026-05-16T02:24:03+02:00,0.0,0,Egersund,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3092_63145-R,True,actual,False,,,,,2026-05-16T02:41:20.827815+02:00
NSR:StopPlace:58925,Gausel stasjon,2026-05-17T02:19:00+02:00,2026-05-16T02:23:45+02:00,2026-05-16T02:23:45+02:00,0.0,0,Stavanger,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3093_63146-R,True,actual,False,,,,,2026-05-16T02:41:20.827815+02:00
NSR:StopPlace:63079,Skeiane stasjon,2026-05-17T02:12:00+02:00,2026-05-16T02:16:53+02:00,2026-05-16T02:16:53+02:00,0.0,0,Egersund,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3092_63145-R,True,actual,False,,,,,2026-05-16T02:41:20.827815+02:00
NSR:StopPlace:63079,Skeiane stasjon,2026-05-17T02:12:00+02:00,2026-05-16T02:16:58+02:00,2026-05-16T02:16:58+02:00,0.0,0,Stavanger,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3093_63146-R,True,actual,False,,,,,2026-05-16T02:41:20.827815+02:00
NSR:StopPlace:362,Jåttåvågen stasjon,2026-05-17T02:22:00+02:00,2026-05-16T02:26:04+02:00,2026-05-16T02:26:04+02:00,0.0,0,Stavanger,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3093_63146-R,True,actual,False,,,,,2026-05-16T02:41:20.827815+02:00
NSR:StopPlace:261,Ganddal stasjon,2026-05-17T02:15:00+02:00,2026-05-16T02:20:03+02:00,2026-05-16T02:20:03+02:00,0.0,0,Egersund,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3092_63145-R,True,actual,False,,,,,2026-05-16T02:41:20.827815+02:00
NSR:StopPlace:702,Sandnes sentrum stasjon,2026-05-17T02:14:00+02:00,2026-05-16T02:18:34+02:00,2026-05-16T02:18:34+02:00,0.0,0,Stavanger,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3093_63146-R,True,actual,False,,,,,2026-05-16T02:41:20.827815+02:00
NSR:StopPlace:61251,Øksnavadporten stasjon,2026-05-17T02:05:00+02:00,2026-05-16T02:10:19+02:00,2026-05-16T02:10:19+02:00,0.0,0,Stavanger,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3093_63146-R,True,actual,False,,,,,2026-05-16T02:31:34.084316+02:00
NSR:StopPlace:59957,Klepp stasjon,2026-05-17T02:02:00+02:00,2026-05-16T02:07:19+02:00,2026-05-16T02:07:19+02:00,0.0,0,Stavanger,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3093_63146-R,True,actual,False,,,,,2026-05-16T02:31:34.084316+02:00
NSR:StopPlace:261,Ganddal stasjon,2026-05-17T02:09:00+02:00,2026-05-16T02:13:50+02:00,2026-05-16T02:13:50+02:00,0.0,0,Stavanger,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3093_63146-R,True,actual,False,,,,,2026-05-16T02:31:34.084316+02:00
NSR:StopPlace:702,Sandnes sentrum stasjon,2026-05-17T02:10:00+02:00,2026-05-16T02:10:54+02:00,2026-05-16T02:10:54+02:00,0.0,0,Egersund,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3092_63145-R,True,actual,False,,,,,2026-05-16T02:31:34.084316+02:00
NSR:StopPlace:58925,Gausel stasjon,2026-05-17T02:05:00+02:00,2026-05-16T02:05:43+02:00,2026-05-16T02:05:43+02:00,0.0,0,Egersund,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3092_63145-R,True,actual,False,,,,,2026-05-16T02:21:20.056407+02:00
NSR:StopPlace:362,Jåttåvågen stasjon,2026-05-17T02:02:00+02:00,2026-05-16T02:03:14+02:00,2026-05-16T02:03:14+02:00,0.0,0,Egersund,GOA:Line:59,Jærbanen,L5,rail,GOA:ServiceJourney:3092_63145-R,True,actual,False,,,,,2026-05-16T02:21:20.056407+02:00
NSR:StopPlace:59957,Klepp stasjon,2026-05-18T01:27:00+02:00,2026-05-17T01:27:10+02:00,,0.0,0,Verdalen via Kleppekrossen,KOL:Line:8_2024,59,59,bus,KOL:ServiceJourney:2024_250619122710370_4020,True,expected,False,,,,,2026-05-17T01:01:36.475896+02:00
NSR:StopPlace:58925,Gausel stasjon,2026-05-18T01:06:00+02:00,2026-05-17T01:04:54+02:00,,0.0,0,Sandnes,KOL:Line:8_1007,6,6,bus,KOL:ServiceJourney:1007_251210064510463_3072,True,expected,False,,,,,2026-05-17T01:01:36.475896+02:00
NSR:StopPlace:58925,Gausel stasjon,2026-05-18T01:19:00+02:00,2026-05-17T01:18:57+02:00,,0.0,0,Sandnes via Smeaheia,KOL:Line:8_1002,2,2,bus,KOL:ServiceJourney:1002_260422145975598_3047,True,expected,False,,,,,2026-05-17T01:01:36.475896+02:00
NSR:StopPlace:58925,Gausel stasjon,2026-05-18T01:49:00+02:00,2026-05-17T01:49:16+02:00,,0.0,0,Sandnes via Varatun,KOL:Line:8_1002,2,2,bus,KOL:ServiceJourney:1002_260422145974928_3048,True,expected,False,,,,,2026-05-17T01:01:36.475896+02:00
NSR:StopPlace:58211,Oslo lufthavn,2026-05-17T02:00:00+02:00,2026-05-17T02:00:00+02:00,,0.0,0,Oslo sentrum via Helsfyr-Hasle-Bislett,NBU:Line:a7c15243-8873-4aee-a8b4-8d22e8ad31dc,Oslo sentrum via Helsfyr-Hasle-Bislett,FB5,bus,NBU:ServiceJourney:0df7d993-3f33-4c0d-9ee4-9c74cc27bdf0,True,planned,False,,,,,2026-05-17T01:01:36.475896+02:00
NSR:StopPlace:58925,Gausel stasjon,2026-05-18T01:36:00+02:00,2026-05-17T01:36:37+02:00,,0.0,0,Risavika via Stavanger,KOL:Line:8_1002,2,2,bus,KOL:ServiceJourney:1002_260422145977024_4047,True,expected,False,,,,,2026-05-17T00:41:16.759846+02:00
NSR:StopPlace:59638,Myrvoll stasjon,2026-05-17T02:00:00+02:00,2026-05-17T02:00:00+02:00,,0.0,0,Ski stasjon,RUT:Line:3981,Nationaltheatret - Ski,81N,bus,RUT:ServiceJourney:c69295cb6f5f0a28ff80827c7cb40356,False,planned,False,,,,,2026-05-17T01:01:36.475896+02:00
NSR:StopPlace:58830,Brakerøya stasjon,2026-05-17T02:01:00+02:00,2026-05-17T02:01:00+02:00,,0.0,0,Drammen,VYG:Line:L1,Spikkestad-Oslo S-Lillestrøm,L1,rail,VYG:ServiceJourney:BUS-2281_566211-R,False,planned,False,,,,,2026-05-17T01:01:36.475896+02:00
